# x rate
0.0 0.03432362272858379
0.0 0.06690561529271206
0.9475 0.015274949083503055
1.0525 0.01719363027925225
1.035 0.05733130390664637
0.9825 0.02670837343599615
1.0525 0.01175590467030031
0.9475 0.02400932400932401
1.0875 0.029084158415841586
1.0175 0.0069517908417711955
0.9475 0.00607945709034356
1.0 0.23809523809523808
1.035 0.034812880765883375
0.9825 0.011190817790530846
1.07 0.06566604127579738
1.0175 0.14705882352941177
0.9825 0.01565874730021598
0.9825 0.003869303525365434
1.07 0.0036910846110164677
0.9825 0.00625312656328164
0.9825 0.11904761904761904
0.9299999999999999 0.04573804573804574
1.0525 0.028277634961439587
1.035 0.0031555221637866266
0.965 0.002705993776214315
0.965 0.04747774480712166
1.0175 0.01670378619153675
1.0175 0.011343804537521814
1.0 0.001996007984031936
0.965 0.03333333333333333
1.0 0.03435114503816794
0.9825 0.0012466884837151317
0.9125 0.019830028328611898
1.0 0.05454545454545454
1.0 0.0009189768724153775
1.0175 0.0273972602739726
1.0875 0.017241379310344827
0.9125 0.014423076923076924
1.0 0.002902757619738752
1.0175 0.0016181229773462784
1.0175 0.005208333333333333
1.0525 0.007352941176470588
0.9299999999999999 0.0025
0.9475 0.009900990099009901
1.0175 0.0001
0.9825 0.0001
1.0525 0.0001
0.9475 0.0001
2.035 0.04428904428904429
1.965 0.035269709543568464
2.0 0.043137254901960784
2.0 0.1746031746031746
1.9825 0.010101010101010102
2.0175 0.0125
2.0 0.0001
3.0525 0.018296105062296553
2.9125 0.012981330221703617
3.0 0.04667328699106256
2.9825 0.07586206896551724
2.9825 0.00224278104850014
3.0175 0.021398002853067047
3.0 0.0026903416733925207
3.035 0.01126126126126126
3.0175 0.0023195876288659794
3.0 0.0013408820023837903
3.0175 0.07766990291262135
2.965 0.010416666666666666
2.9825 0.03125
3.0175 0.03205128205128205
2.9825 0.01990049751243781
3.0875 0.0189873417721519
2.9475 0.015037593984962405
3.0175 0.017241379310344827
3.0 0.007518796992481203
3.0 0.01098901098901099
2.9825 0.017241379310344827
3.1575 0.0001
2.9125 0.0001
2.9475 0.0001
2.9825 0.0001
3.0175 0.0001
3.1225 0.0001
3.0525 0.0001
3.0875 0.0001
2.8775 0.0001
2.8425 0.0001
4.0 0.002928972418843056
4.0 0.05555555555555555
5.0 0.04263565891472868
4.9825 0.023809523809523808
5.0175 0.02702702702702703
5.0175 0.019230769230769232
4.9825 0.015384615384615385
5.0175 0.01079136690647482
5.0525 0.011428571428571429
4.9475 0.01015228426395939
4.9825 0.010638297872340425
4.965 0.00625
4.9825 0.004291845493562232
5.0 0.006622516556291391
5.0525 0.004739336492890996
5.0175 0.004524886877828055
4.9475 0.0041841004184100415
5.035 0.006666666666666667
5.0175 0.0001
4.9825 0.0001
5.0525 0.0001
4.9475 0.0001
6.0 0.008771929824561403
6.28 0.0001
6.245 0.0001
6.21 0.0001
6.175 0.0001
6.14 0.0001
6.105 0.0001
6.07 0.0001
6.035 0.0001
5.685 0.0001
5.965 0.0001
5.93 0.0001
5.895 0.0001
5.86 0.0001
5.825 0.0001
5.79 0.0001
5.755 0.0001
5.72 0.0001
6.315 0.0001
6.0 0.0001
7.6675 0.0001
8.2625 0.0001
8.2275 0.0001
8.1925 0.0001
8.1575 0.0001
8.1225 0.0001
8.0875 0.0001
8.0525 0.0001
8.0175 0.0001
7.9825 0.0001
7.9475 0.0001
7.9125 0.0001
7.8775 0.0001
7.8425 0.0001
7.8075 0.0001
7.7725 0.0001
7.7375 0.0001
7.7025 0.0001
8.2975 0.0001
8.3325 0.0001
9.0 0.009852216748768473
9.0 0.006134969325153374
9.2625 0.0001
9.2275 0.0001
9.1925 0.0001
9.1575 0.0001
9.1225 0.0001
9.0875 0.0001
9.0525 0.0001
8.7025 0.0001
8.9825 0.0001
8.9475 0.0001
8.9125 0.0001
8.8775 0.0001
8.8425 0.0001
8.8075 0.0001
8.7725 0.0001
8.7375 0.0001
9.2975 0.0001
9.0175 0.0001
