# x cohort sn lo hi
0 tcrvdb_true 149.08051515875582 108.88579933539698 204.11293424536618
1 vdjdb_hq 14.762064995363788 11.466515831756162 19.00477582944822
2 immrep22_true 4.056505096702933 1.2077932126964648 13.62421433288208
3 vdjdb_lq 3.4911140267760925 2.3812739164090186 5.118217213050486
4 tcrvdb_false 27.874719729532714 16.001022233000143 48.559397561334144
5 immrep25_pos 2.3771371861707125 1.4797470620871689 3.818748045970263
6 pairseq_mock 0.9467329086716181 0.8553068211140771 1.0479317810120417
7 mlr_prolif 1.9689535486416025 1.3094547437909134 2.9606048586948206
8 airr_control 1.0 1.0 1.0
9 olga_random 0.9743349054828115 0.9628078379005018 0.9859999790947948
