# x rate
0.0 0.05316809914051569
0.0 0.1001306051371354
0.9825 1.0
1.0 0.13786450581555593
1.0175 1.0
1.0 0.515748031496063
1.0 0.7028571428571428
2.0 0.7146346117153215
2.035 0.7512249897917518
1.965 0.4389863772800739
2.14 0.13273703041144902
2.07 0.2192919933475885
1.965 0.11214392803598201
2.105 0.23047746541722444
1.825 0.107858733693923
2.0 0.4825949367088608
2.0 0.1133419689119171
1.965 0.5577047066408769
2.07 0.09337792642140469
1.8075 0.04808326614381001
2.1575 0.06324767390341161
2.0175 0.058489787497421085
1.8425 0.04882173864020747
2.07 0.026072832962899643
2.0875 0.05964585274930102
2.0875 0.28935185185185186
1.965 0.08745247148288973
2.1225 0.31163434903047094
2.1225 0.016257781032588795
1.825 0.07038216560509554
2.035 0.09172932330827067
1.895 0.11097256857855362
2.1575 0.01764276020461426
2.0525 0.2727272727272727
1.79 0.021673168617251843
1.9825 0.2564575645756458
2.035 0.11528822055137844
2.105 0.02660472972972973
1.8775 0.23644251626898047
2.1575 0.04390873869995695
1.9475 0.013527993570854541
1.9825 0.05799648506151142
2.035 0.21476510067114093
2.035 0.5054347826086957
2.21 0.028877352368591822
2.14 0.027105517909002903
1.7725 0.04732041049030787
2.0875 0.012630930375847197
2.175 0.028429282160625444
2.0875 0.01536163857478131
1.9475 0.03753351206434316
1.8775 0.013103852923919421
1.9825 0.013894736842105264
1.8599999999999999 0.0731981981981982
1.79 0.1068840579710145
2.1925 0.06385404789053592
2.1225 0.043685464654487687
1.8425 0.0313460356484327
2.14 0.09850107066381156
1.93 0.11138613861386139
2.0525 0.014534883720930232
1.965 0.17982456140350878
1.93 0.08438818565400844
2.0175 0.2631578947368421
1.965 0.006210191082802548
2.0 0.20105820105820105
2.07 0.001557173519633012
2.0875 0.003405116878336094
1.9125 0.23684210526315788
2.0525 0.04084158415841584
2.105 0.09785932721712538
1.93 0.003998968008255934
1.965 0.004035512510088781
2.21 0.15263157894736842
1.9475 0.24778761061946902
2.035 0.0075107296137339056
2.175 0.14285714285714285
2.1225 0.061611374407582936
2.2275 0.06532663316582915
1.895 0.16129032258064516
2.2625 0.06578947368421052
1.93 0.17391304347826086
1.7025 0.04519774011299435
1.9475 0.002829854969932791
2.0525 0.003206468702077234
1.8599999999999999 0.10837438423645321
1.8425 0.012895662368112544
1.895 0.07664233576642336
2.105 0.12352941176470589
1.9125 0.013201320132013201
1.8775 0.05013192612137203
2.0525 0.059375
2.035 0.0023888520238885204
1.9125 0.002510110165946172
2.2975 0.06692913385826772
1.7375 0.04521276595744681
1.9475 0.055944055944055944
2.07 0.12195121951219512
2.035 0.02586206896551724
2.07 0.007560483870967742
1.825 0.022354694485842028
1.93 0.025252525252525252
1.965 0.0018634367097031812
2.0875 0.04242424242424243
2.0 0.0880503144654088
1.9825 0.002849627356422622
2.0 0.02564102564102564
2.035 0.0014731485201553503
2.035 0.005330490405117271
2.0175 0.04032258064516129
2.175 0.1
2.0 0.0021838829438742082
1.895 0.022988505747126436
2.0 0.006697923643670462
2.0 0.0014351320321469576
1.965 0.0014162077104642014
1.8599999999999999 0.022727272727272728
2.0525 0.0009599561162918266
2.0175 0.000855222968845449
1.9825 0.0008038585209003215
2.0175 0.011560693641618497
1.9475 0.0007604562737642585
1.9125 0.05042016806722689
1.9475 0.009900990099009901
1.93 0.0011483693155718878
2.0525 0.011574074074074073
1.9825 0.0380952380952381
1.8775 0.031746031746031744
2.14 0.008016032064128256
1.965 0.02564102564102564
1.9825 0.010101010101010102
1.9125 0.037037037037037035
2.0 0.0004243281471004243
2.0175 0.003129890453834116
2.0 0.0002838087129274869
1.895 0.005813953488372093
2.105 0.007936507936507936
2.0 0.0047169811320754715
