# x cohort sn lo hi
0 tcrvdb_true 164.33806619283305 78.87240867588497 342.4137851676552
1 vdjdb_hq 9.153394082340505 6.267770393028162 13.36753230779201
2 immrep22_true 6.149156788224945 2.3692340302260924 15.9596429579245
3 vdjdb_lq 3.1675923765812306 2.072871272222168 4.840455651362867
4 tcrvdb_false 5.316569029468845 0.9879304641362201 28.611230517950563
5 immrep25_pos 2.9832555922332804 2.0239750611912095 4.397195449312089
6 pairseq_mock 0.9851469517513047 0.8786254437900939 1.1045827586763424
7 mlr_prolif NaN NaN NaN
8 airr_control 0.9948575007721976 0.9879482286511663 1.001815093280733
9 olga_random 0.9603758926716232 0.804396254805209 1.1466013792520262
